,unique_foods,input_number,avg_daily_food,avg_proportions_diff,Protein_positive_difference,Protein_negative_difference,Protein_none_difference,Calories_positive_difference,Calories_negative_difference,Calories_none_difference,Sodium_positive_difference,Sodium_negative_difference,Sodium_none_difference,Sugar_positive_difference,Sugar_negative_difference,Sugar_none_difference,Fat_positive_difference,Fat_negative_difference,Fat_none_difference,Carbs_positive_difference,Carbs_negative_difference,Carbs_none_difference,Fiber_positive_difference,Fiber_negative_difference,Fiber_none_difference,Protein_avg,Calories_avg,Sodium_avg,Sugar_avg,Fat_avg,Carbs_avg,Fiber_avg
39,161,96,1.6770833333333333,52.28125,87,9,0,93,3,0,0,0,96,90,6,0,50,46,0,96,0,0,96,0,0,46.239583333333336,849.7291666666666,0.0,22.4375,47.864583333333336,56.708333333333336,3.8125
40,279,134,2.082089552238806,208.38805970149255,81,52,1,130,4,0,0,0,134,110,24,0,123,11,0,134,0,0,130,3,1,60.21641791044776,1043.4328358208954,0.0,37.3134328358209,33.11940298507463,85.96268656716418,13.432835820895523
41,77,22,3.5,87.27272727272727,20,2,0,21,1,0,20,2,0,18,4,0,21,1,0,20,2,0,0,0,22,52.54545454545455,737.0909090909091,1017.1363636363636,25.681818181818183,32.18181818181818,59.59090909090909,0.0
42,327,145,2.2551724137931033,29.56551724137931,83,62,0,132,12,1,0,0,145,21,123,1,89,55,1,118,25,2,74,60,11,122.8,1819.0758620689655,0.0,95.97241379310344,56.39310344827586,207.2206896551724,37.42068965517242
43,276,74,3.72972972972973,62.148648648648646,72,2,0,74,0,0,56,18,0,0,0,74,73,1,0,70,4,0,58,12,4,51.770270270270274,1035.418918918919,1597.7027027027027,0.0,30.756756756756758,147.9189189189189,19.216216216216218
44,100,13,7.6923076923076925,184.84615384615384,12,1,0,7,6,0,4,9,0,11,2,0,8,5,0,4,9,0,0,0,13,73.23076923076923,1713.5384615384614,2651.230769230769,40.53846153846154,65.3076923076923,163.0,0.0
45,444,179,2.4804469273743015,46.832402234636874,142,35,2,139,39,1,0,0,179,0,0,179,66,107,6,149,30,0,0,0,179,59.022346368715084,1208.3575418994412,0.0,0.0,53.89385474860335,127.45810055865921,0.0
46,810,154,5.259740259740259,103.42857142857143,87,66,1,100,53,1,35,119,0,0,0,154,97,50,7,41,112,1,54,94,6,175.37012987012986,1985.1038961038962,3149.279220779221,0.0,65.2987012987013,198.9025974025974,32.77922077922078
47,338,109,3.1009174311926606,1089.0,108,1,0,38,52,19,85,23,1,83,25,1,91,17,1,76,32,1,0,0,109,45.6605504587156,1881.2752293577983,1169.5045871559632,33.43119266055046,27.65137614678899,93.20183486238533,0.0
48,185,23,8.043478260869565,73.82608695652173,23,0,0,22,1,0,0,0,23,17,5,1,23,0,0,21,2,0,22,0,1,48.130434782608695,781.8695652173913,0.0,43.47826086956522,15.08695652173913,96.1304347826087,10.043478260869565
49,301,109,2.761467889908257,102.73394495412845,109,0,0,91,18,0,74,35,0,26,83,0,37,71,1,37,71,1,0,0,109,60.54128440366973,1315.605504587156,1860.394495412844,82.5045871559633,45.091743119266056,187.6697247706422,0.0
50,193,62,3.1129032258064515,24.5,59,3,0,56,6,0,51,11,0,45,17,0,49,11,2,58,4,0,0,0,62,36.17741935483871,915.741935483871,1441.5,43.306451612903224,32.435483870967744,119.8225806451613,0.0
51,396,62,6.387096774193548,111.43548387096774,49,12,1,42,20,0,17,45,0,21,41,0,32,30,0,42,20,0,0,0,62,74.88709677419355,1765.483870967742,2802.3387096774195,96.64516129032258,65.79032258064517,217.40322580645162,0.0
52,100,20,5.0,69.65,19,1,0,19,1,0,0,0,20,15,5,0,17,2,1,19,1,0,0,0,20,62.75,868.3,0.0,34.65,30.05,90.5,0.0
53,6,4,1.5,22.5,4,0,0,4,0,0,0,0,4,0,0,4,4,0,0,4,0,0,0,0,4,55.25,702.25,0.0,0.0,21.75,65.75,0.0
54,9,2,4.5,55.0,2,0,0,2,0,0,1,1,0,0,0,2,2,0,0,2,0,0,2,0,0,24.5,820.0,1403.5,0.0,23.0,122.5,13.0
55,782,173,4.520231213872832,67.91329479768787,169,3,1,151,22,0,0,0,173,0,0,173,112,61,0,130,40,3,169,2,2,50.96531791907515,1108.028901734104,0.0,0.0,48.994219653179194,106.95375722543352,9.566473988439306
56,142,38,3.736842105263158,97.60526315789474,36,2,0,37,1,0,32,6,0,38,0,0,24,13,1,38,0,0,0,0,38,32.78947368421053,726.2368421052631,1563.0263157894738,13.789473684210526,34.8421052631579,50.526315789473685,0.0
57,3,1,3.0,10.0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,28.0,605.0,1365.0,0.0,27.0,65.0,7.0
58,402,103,3.9029126213592233,61.650485436893206,85,15,3,95,7,1,28,75,0,38,64,1,65,34,4,87,16,0,0,0,103,172.37864077669903,1600.8155339805826,1783.0485436893205,38.09708737864078,55.76699029126213,107.85436893203884,0.0
59,21,5,4.2,50.2,5,0,0,5,0,0,0,0,5,5,0,0,5,0,0,5,0,0,5,0,0,28.4,570.6,0.0,26.4,19.2,60.2,5.8
60,8,2,4.0,21.0,2,0,0,2,0,0,0,0,2,1,1,0,0,2,0,2,0,0,2,0,0,49.0,598.0,0.0,23.0,24.0,48.5,8.0
61,248,78,3.1794871794871793,217.92307692307693,71,7,0,74,4,0,0,0,78,0,0,78,78,0,0,66,12,0,0,0,78,50.94871794871795,967.4230769230769,0.0,0.0,23.397435897435898,85.21794871794872,0.0
62,675,134,5.037313432835821,51.12686567164179,123,11,0,131,3,0,107,27,0,0,0,134,98,35,1,107,27,0,0,0,134,67.13432835820896,1172.5746268656717,1622.7835820895523,0.0,44.47761194029851,127.3731343283582,0.0
63,30,4,7.5,88.25,4,0,0,4,0,0,3,1,0,0,0,4,2,2,0,4,0,0,0,0,4,27.0,1050.5,2058.75,0.0,62.25,116.5,0.0
64,50,16,3.125,54.8125,11,5,0,16,0,0,0,0,16,0,0,16,14,2,0,16,0,0,0,0,16,48.875,757.375,0.0,0.0,28.3125,74.6875,0.0
65,275,105,2.619047619047619,61.371428571428574,63,39,3,92,12,1,0,0,105,72,33,0,68,34,3,81,23,1,89,14,2,156.2952380952381,1465.0857142857142,0.0,47.27619047619048,40.857142857142854,109.83809523809524,14.771428571428572
66,364,70,5.2,124.84285714285714,62,8,0,59,11,0,37,33,0,67,3,0,37,32,1,62,8,0,0,0,70,76.47142857142858,1333.2428571428572,2344.4142857142856,27.142857142857142,57.94285714285714,121.28571428571429,0.0
67,492,179,2.7486033519553073,41.8268156424581,178,1,0,111,67,1,32,147,0,0,0,179,29,146,4,75,104,0,124,40,15,107.40782122905028,1738.7765363128492,2823.0335195530724,0.0,74.23463687150839,162.59217877094972,19.47486033519553
68,2,1,2.0,18.0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,12.0,394.0,100.0,1.0,8.0,64.0,0.0
69,121,28,4.321428571428571,105.57142857142857,27,1,0,28,0,0,20,8,0,26,2,0,28,0,0,28,0,0,0,0,28,48.17857142857143,975.3571428571429,1730.857142857143,36.392857142857146,36.857142857142854,108.10714285714286,0.0
70,473,56,8.446428571428571,177.41071428571428,36,20,0,39,17,0,53,3,0,45,11,0,18,36,2,54,2,0,0,0,56,62.017857142857146,1218.8035714285713,1233.6785714285713,30.339285714285715,52.57142857142857,85.83928571428571,0.0
71,1310,150,8.733333333333333,36.18666666666667,96,49,5,91,59,0,0,0,150,0,0,150,28,117,5,119,30,1,26,121,3,154.72666666666666,2635.0333333333333,0.0,0.0,97.46,279.82666666666665,33.473333333333336
72,62,16,3.875,31.375,16,0,0,15,1,0,14,2,0,14,1,1,16,0,0,15,1,0,0,0,16,24.0,569.8125,1116.9375,21.625,12.1875,95.5,0.0
73,162,23,7.043478260869565,72.78260869565217,22,1,0,23,0,0,21,2,0,21,2,0,22,1,0,12,11,0,0,0,23,41.608695652173914,784.695652173913,1301.3478260869565,14.217391304347826,48.78260869565217,29.782608695652176,0.0
74,188,50,3.76,115.44,47,3,0,45,5,0,0,0,50,10,39,1,38,12,0,32,18,0,0,0,50,60.48,1280.98,0.0,37.3,32.5,161.7,0.0
75,116,38,3.0526315789473686,49.10526315789474,19,19,0,10,28,0,22,16,0,10,27,1,30,7,1,3,35,0,0,0,38,92.1842105263158,1714.157894736842,2342.0263157894738,83.71052631578948,79.05263157894737,159.23684210526315,0.0
76,8,13,0.6153846153846154,8.0,13,0,0,13,0,0,13,0,0,12,1,0,13,0,0,13,0,0,0,0,13,2.3076923076923075,58.84615384615385,67.61538461538461,10.538461538461538,0.07692307692307693,11.461538461538462,0.0
77,214,178,1.202247191011236,1306.7359550561798,143,35,0,156,22,0,0,0,178,0,0,178,0,0,178,0,0,178,178,0,0,85.29213483146067,1647.9044943820224,0.0,0.0,0.0,0.0,14.44943820224719
78,107,19,5.631578947368421,127.47368421052632,11,8,0,9,10,0,10,9,0,0,0,19,11,7,1,12,7,0,0,0,19,53.68421052631579,1267.7894736842106,2233.3684210526317,0.0,44.526315789473685,141.3684210526316,0.0
79,37,4,9.25,578.25,4,0,0,4,0,0,3,1,0,4,0,0,0,0,4,4,0,0,4,0,0,75.25,1655.25,1722.0,35.25,0.0,194.0,17.25
80,49,11,4.454545454545454,102.36363636363636,8,3,0,11,0,0,7,4,0,11,0,0,8,3,0,11,0,0,0,0,11,73.0909090909091,978.0,1836.7272727272727,28.0,39.27272727272727,102.27272727272727,0.0
81,833,179,4.653631284916201,289.21787709497204,168,11,0,143,34,2,151,28,0,70,106,3,143,33,3,136,40,3,0,0,179,33.45810055865922,1348.1564245810057,1721.7653631284916,47.54189944134078,34.502793296089386,162.62011173184356,0.0
82,9,1,9.0,257.0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,47.0,1014.0,2139.0,0.0,37.0,59.0,2.0
83,131,45,2.911111111111111,176.3111111111111,27,18,0,10,34,1,28,17,0,33,12,0,11,33,1,33,12,0,0,0,45,53.24444444444445,1296.1555555555556,1896.6666666666667,28.42222222222222,52.91111111111111,118.31111111111112,0.0
84,648,131,4.9465648854961835,134.58778625954199,131,0,0,45,86,0,106,25,0,43,85,3,6,124,1,37,94,0,0,0,131,80.94656488549619,1707.1984732824428,1587.6641221374045,76.7557251908397,51.45038167938932,244.3587786259542,0.0
85,372,103,3.6116504854368934,202.79611650485438,39,62,2,84,19,0,81,22,0,83,20,0,78,25,0,95,8,0,0,0,103,86.25242718446601,1466.7378640776699,1573.990291262136,31.78640776699029,49.49514563106796,139.10679611650485,0.0
86,6,1,6.0,19.0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,18.0,391.0,0.0,2.0,26.0,26.0,10.0
87,157,45,3.488888888888889,66.91111111111111,36,8,1,43,2,0,35,10,0,27,17,1,22,22,1,45,0,0,0,0,45,90.53333333333333,1237.2888888888888,1400.7333333333333,59.31111111111111,49.48888888888889,113.02222222222223,0.0
88,527,150,3.513333333333333,73.66,146,4,0,138,12,0,101,48,1,143,7,0,112,38,0,133,16,1,0,0,150,53.07333333333333,924.1066666666667,1794.6866666666667,26.926666666666666,33.68666666666667,93.35333333333334,0.0
89,211,63,3.3492063492063493,263.57142857142856,50,13,0,55,8,0,36,27,0,47,16,0,46,15,2,51,11,1,0,0,63,62.317460317460316,1252.904761904762,2036.2063492063492,48.61904761904762,51.523809523809526,183.4920634920635,0.0
90,329,96,3.4270833333333335,82.5625,80,16,0,42,54,0,77,19,0,0,0,96,47,46,3,36,56,4,88,8,0,77.3125,1387.3229166666667,1848.375,0.0,100.82291666666667,24.947916666666668,10.770833333333334
91,211,21,10.047619047619047,74.57142857142857,16,5,0,15,6,0,0,0,21,10,11,0,6,15,0,16,5,0,18,3,0,69.28571428571429,1543.8095238095239,0.0,56.23809523809524,56.38095238095238,182.28571428571428,51.904761904761905
92,117,40,2.925,126.275,40,0,0,40,0,0,0,0,40,0,0,40,40,0,0,33,7,0,34,4,2,21.075,737.725,0.0,0.0,13.5,104.175,14.125
93,44,9,4.888888888888889,913.2222222222222,8,1,0,9,0,0,0,0,9,0,0,9,0,0,9,0,0,9,0,0,9,58.666666666666664,1147.888888888889,0.0,0.0,0.0,0.0,0.0
94,857,179,4.787709497206704,93.26815642458101,97,82,0,168,0,11,110,69,0,57,116,6,144,30,5,82,95,2,0,0,179,89.64245810055866,1236.9441340782123,2120.2625698324023,48.100558659217874,26.446927374301676,153.18994413407822,0.0
95,12,2,6.0,7.5,2,0,0,2,0,0,2,0,0,1,1,0,2,0,0,0,2,0,0,0,2,25.5,890.5,1105.0,27.5,49.0,85.0,0.0
96,39,5,7.8,103.8,5,0,0,5,0,0,5,0,0,0,0,5,5,0,0,5,0,0,0,0,5,39.6,840.4,752.2,0.0,35.4,111.6,0.0
97,9,2,4.5,68.5,2,0,0,1,1,0,2,0,0,0,0,2,1,1,0,1,1,0,2,0,0,42.5,1077.5,2083.0,0.0,40.0,154.0,11.5
98,213,176,1.2102272727272727,133.8181818181818,73,102,1,117,59,0,0,0,176,0,0,176,62,113,1,170,6,0,0,0,176,54.84090909090909,1177.625,0.0,0.0,52.22727272727273,94.11931818181819,0.0
99,182,48,3.7916666666666665,462.7708333333333,45,3,0,42,5,1,48,0,0,47,1,0,46,2,0,48,0,0,0,0,48,34.1875,1045.7916666666667,655.1458333333334,17.3125,22.895833333333332,61.083333333333336,0.0
100,205,53,3.8679245283018866,135.73584905660377,48,5,0,52,1,0,38,15,0,39,14,0,26,26,1,51,1,1,0,0,53,57.18867924528302,1187.7358490566037,1947.811320754717,43.62264150943396,61.43396226415094,118.73584905660377,0.0
101,123,29,4.241379310344827,75.51724137931035,26,3,0,29,0,0,28,1,0,24,4,1,26,2,1,29,0,0,0,0,29,45.89655172413793,958.7931034482758,1203.655172413793,34.55172413793103,35.689655172413794,102.86206896551724,0.0
102,255,39,6.538461538461538,64.8974358974359,33,6,0,32,6,1,24,15,0,30,9,0,23,16,0,33,6,0,0,0,39,53.43589743589744,1125.7179487179487,1852.5384615384614,44.07692307692308,42.87179487179487,124.33333333333333,0.0
103,448,64,7.0,164.09375,51,12,1,34,30,0,33,31,0,27,36,1,20,43,1,39,25,0,0,0,64,70.734375,1952.984375,2290.484375,82.109375,82.515625,219.40625,0.0
104,37,7,5.285714285714286,56.857142857142854,7,0,0,7,0,0,7,0,0,7,0,0,6,1,0,5,2,0,0,0,7,77.57142857142857,775.2857142857143,781.5714285714286,19.857142857142858,22.714285714285715,76.14285714285714,0.0
105,118,18,6.555555555555555,62.27777777777778,11,7,0,16,2,0,16,2,0,14,3,1,14,4,0,17,1,0,0,0,18,100.33333333333333,1297.7222222222222,1555.0,51.55555555555556,37.22222222222222,132.33333333333334,0.0
106,60,8,7.5,92.125,8,0,0,6,2,0,2,6,0,0,0,8,4,4,0,6,2,0,8,0,0,67.25,1637.5,2750.625,0.0,56.625,196.0,15.125
107,787,90,8.744444444444444,153.2,77,11,2,57,33,0,75,15,0,70,20,0,12,78,0,76,13,1,0,0,90,60.27777777777778,1519.2555555555555,1702.6666666666667,44.06666666666667,73.83333333333333,140.55555555555554,0.0
108,812,112,7.25,47.982142857142854,76,33,3,73,39,0,75,37,0,0,0,112,44,62,6,79,30,3,108,3,1,110.03571428571429,1470.4910714285713,1899.6875,0.0,53.99107142857143,134.30357142857142,16.866071428571427
109,86,14,6.142857142857143,204.85714285714286,13,1,0,14,0,0,0,0,14,14,0,0,12,2,0,12,1,1,14,0,0,86.78571428571429,1113.7142857142858,0.0,8.071428571428571,81.14285714285714,43.07142857142857,16.571428571428573
110,160,32,5.0,37.9375,32,0,0,30,2,0,26,6,0,0,0,32,25,6,1,18,14,0,32,0,0,44.9375,876.96875,1464.15625,0.0,37.78125,89.5625,8.5
111,133,24,5.541666666666667,79.58333333333333,13,11,0,20,4,0,13,11,0,0,0,24,20,3,1,10,14,0,23,1,0,269.0416666666667,2411.75,12226.416666666666,0.0,120.41666666666667,47.0,10.208333333333334
112,384,92,4.173913043478261,121.68478260869566,59,33,0,60,32,0,40,52,0,86,6,0,48,43,1,61,31,0,0,0,92,110.76086956521739,1978.6521739130435,3172.641304347826,41.869565217391305,80.1413043478261,198.80434782608697,0.0
113,100,24,4.166666666666667,48.958333333333336,24,0,0,21,3,0,16,8,0,24,0,0,21,3,0,20,4,0,0,0,24,60.333333333333336,1056.8333333333333,1797.625,18.416666666666668,46.958333333333336,96.54166666666667,0.0
114,221,63,3.507936507936508,75.11111111111111,50,12,1,57,6,0,31,32,0,27,36,0,49,14,0,52,11,0,0,0,63,74.15873015873017,1475.2857142857142,2384.222222222222,80.07936507936508,50.93650793650794,176.3015873015873,0.0
115,921,172,5.354651162790698,65.5,162,8,2,158,14,0,0,0,172,0,0,172,129,42,1,87,81,4,151,16,5,59.80813953488372,1335.4302325581396,0.0,0.0,61.26744186046512,141.6046511627907,16.726744186046513
116,70,14,5.0,38.214285714285715,9,5,0,12,2,0,0,0,14,13,1,0,10,4,0,12,2,0,13,1,0,80.28571428571429,882.5,0.0,14.214285714285714,32.42857142857143,58.57142857142857,6.5
117,40,9,4.444444444444445,92.11111111111111,9,0,0,8,1,0,8,1,0,8,1,0,6,3,0,8,1,0,0,0,9,60.888888888888886,873.3333333333334,1201.3333333333333,39.111111111111114,33.888888888888886,65.77777777777777,0.0
118,182,68,2.676470588235294,68.98529411764706,34,33,1,26,42,0,0,0,68,0,0,68,25,41,2,43,25,0,0,0,68,200.5735294117647,2573.794117647059,0.0,0.0,50.25,313.3235294117647,0.0
119,134,42,3.1904761904761907,33.69047619047619,37,5,0,41,1,0,41,1,0,0,0,42,42,0,0,42,0,0,0,0,42,55.404761904761905,1139.404761904762,1222.2380952380952,0.0,94.47619047619048,10.880952380952381,0.0
120,25,5,5.0,63.0,4,1,0,4,1,0,0,0,5,0,0,5,3,2,0,5,0,0,0,0,5,73.6,1555.2,0.0,0.0,69.4,172.6,0.0
121,214,73,2.9315068493150687,105.68493150684931,56,17,0,71,2,0,61,12,0,73,0,0,65,8,0,71,1,1,0,0,73,109.28767123287672,1507.4657534246576,1733.8219178082193,49.26027397260274,43.15068493150685,170.1917808219178,0.0
122,264,84,3.142857142857143,172.53571428571428,76,8,0,74,10,0,70,14,0,0,0,84,75,8,1,70,13,1,77,5,2,45.035714285714285,904.452380952381,1187.8214285714287,0.0,22.916666666666668,94.51190476190476,11.357142857142858
123,61,6,10.166666666666666,48.333333333333336,2,4,0,4,2,0,2,4,0,4,2,0,3,3,0,6,0,0,0,0,6,174.83333333333334,2235.3333333333335,3310.6666666666665,74.33333333333333,79.66666666666667,203.33333333333334,0.0
124,290,68,4.264705882352941,52.088235294117645,51,17,0,59,9,0,43,25,0,21,46,1,46,22,0,58,10,0,0,0,68,79.17647058823529,1476.25,1996.7205882352941,89.57352941176471,55.86764705882353,171.85294117647058,0.0
